ء	28
ا	78
ب	152
ت	207
ث	290
ج	444
ح	602
خ	705
د	848
ذ	1098
ر	1420
ز	1533
س	1738
ش	2136
ص	2425
ض	2626
ط	2781
ظ	2996
ع	3390
غ	4192
ف	4521
ق	4726
ك	5215
ل	5436
م	6194
ن	6513
ه	6920
و	7602
ي	8492

////////////////////////////////////
//	1	4	7	28
//	2	6	13	78
//	3	8	19	152
//	4	9	23	207
//	5	10	29	290
//	6	12	37	444
//	7	14	43	602
//	8	15	47	705
//	9	16	53	848
//	10	18	61	1098
//	11	20	71	1420
//	12	21	73	1533
//	13	22	79	1738
//	14	24	89	2136
//	15	25	97	2425
//	16	26	101	2626
//	17	27	103	2781
//	18	28	107	2996
//	19	30	113	3390
//	20	32	131	4192
//	21	33	137	4521
//	22	34	139	4726
//	23	35	149	5215
//	24	36	151	5436
//	25	38	163	6194
//	26	39	167	6513
//	27	40	173	6920
//	28	42	181	7602
//	29	44	193	8492
//	30	45	197	8865
//	31	46	199	9154
//	32	48	223	10704
//	33	49	227	11123
//	34	50	229	11450
//	35	51	233	11883
//	36	52	239	12428
//	37	54	251	13554
//	38	55	257	14135
/////////////////////////////////////
