# Khalifa's alif count for each verse of the 13 alif-initialed chapters, from
# Quran: Visual Presentation of the Miracle, resolved by resolve_alif.py.
chapter	verse	alif
2	0	3
2	1	1
2	2	2
2	3	4
2	4	9
2	5	3
2	6	9
2	7	3
2	8	11
2	9	10
2	10	8
2	11	10
2	12	5
2	13	26
2	14	23
2	15	1
2	16	10
2	17	11
2	18	1
2	19	12
2	20	20
2	21	8
2	22	24
2	23	12
2	24	14
2	25	25
2	26	33
2	27	10
2	28	5
2	29	11
2	30	19
2	31	16
2	32	12
2	33	22
2	34	14
2	35	15
2	36	15
2	37	7
2	38	11
2	39	11
2	40	11
2	41	19
2	42	7
2	43	10
2	44	10
2	45	9
2	46	5
2	47	8
2	48	11
2	49	13
2	50	9
2	51	6
2	52	1
2	53	7
2	54	19
2	55	5
2	56	0
2	57	14
2	58	15
2	59	15
2	60	20
2	61	42
2	62	21
2	63	12
2	64	3
2	65	6
2	66	6
2	67	18
2	68	17
2	69	16
2	70	15
2	71	20
2	72	7
2	73	7
2	74	23
2	75	6
2	76	24
2	77	6
2	78	10
2	79	10
2	80	18
2	81	8
2	82	10
2	83	30
2	84	10
2	85	31
2	86	14
2	87	23
2	88	6
2	89	17
2	90	18
2	91	24
2	92	6
2	93	22
2	94	14
2	95	6
2	96	14
2	97	7
2	98	4
2	99	10
2	100	6
2	101	14
2	102	46
2	103	9
2	104	16
2	105	14
2	106	13
2	107	9
2	108	12
2	109	19
2	110	14
2	111	13
2	112	4
2	113	17
2	114	21
2	115	8
2	116	9
2	117	9
2	118	17
2	119	10
2	120	17
2	121	8
2	122	8
2	123	10
2	124	16
2	125	21
2	126	28
2	127	12
2	128	15
2	129	12
2	130	11
2	131	6
2	132	10
2	133	21
2	134	9
2	135	11
2	136	25
2	137	17
2	138	3
2	139	9
2	140	22
2	141	9
2	142	15
2	143	32
2	144	19
2	145	27
2	146	11
2	147	3
2	148	13
2	149	7
2	150	14
2	151	12
2	152	5
2	153	13
2	154	8
2	155	9
2	156	11
2	157	3
2	158	17
2	159	13
2	160	15
2	161	12
2	162	5
2	163	8
2	164	40
2	165	25
2	166	15
2	167	16
2	168	14
2	169	13
2	170	26
2	171	12
2	172	13
2	173	16
2	174	21
2	175	13
2	176	10
2	177	54
2	178	30
2	179	5
2	180	12
2	181	7
2	182	10
2	183	10
2	184	15
2	185	26
2	186	13
2	187	47
2	188	19
2	189	21
2	190	9
2	191	15
2	192	5
2	193	9
2	194	21
2	195	13
2	196	51
2	197	20
2	198	18
2	199	11
2	200	24
2	201	13
2	202	6
2	203	18
2	204	10
2	205	11
2	206	10
2	207	11
2	208	14
2	209	9
2	210	14
2	211	14
2	212	16
2	213	39
2	214	26
2	215	15
2	216	13
2	217	36
2	218	13
2	219	18
2	220	21
2	221	23
2	222	19
2	223	13
2	224	11
2	225	8
2	226	8
2	227	5
2	228	26
2	229	40
2	230	19
2	231	33
2	232	24
2	233	53
2	234	17
2	235	37
2	236	15
2	237	20
2	238	5
2	239	15
2	240	15
2	241	3
2	242	3
2	243	18
2	244	6
2	245	10
2	246	42
2	247	25
2	248	18
2	249	36
2	250	16
2	251	20
2	252	7
2	253	32
2	254	16
2	255	38
2	256	16
2	257	21
2	258	34
