# QVP page 193 (pdf 198), chapter 2 verses 0-45, all three columns: every L and M matches the engine verse by verse.
# chapter	verse	A	L	M	pdf-page
2	0	3	4	3	198
2	1	1	1	1	198
2	2	2	5	1	198
2	3	4	4	5	198
2	4	9	6	5	198
2	5	3	5	4	198
2	6	9	4	6	198
2	7	3	7	7	198
2	8	11	6	8	198
2	9	10	4	4	198
2	10	8	5	7	198
2	11	10	6	3	198
2	12	5	4	3	198
2	13	26	10	10	198
2	14	23	6	7	198
2	15	1	2	5	198
2	16	10	6	4	198
2	17	11	9	8	198
2	18	1	1	4	198
2	19	12	8	8	198
2	20	20	13	10	198
2	21	8	7	5	198
2	22	24	14	10	198
2	23	12	5	8	198
2	24	14	10	1	198
2	25	25	12	13	198
2	26	33	16	12	198
2	27	10	9	5	198
2	28	5	3	9	198
2	29	11	8	7	198
2	30	19	15	7	198
2	31	16	8	8	198
2	32	12	9	5	198
2	33	22	10	17	198
2	34	14	8	3	198
2	35	15	7	5	198
2	36	15	7	8	198
2	37	7	5	4	198
2	38	11	4	8	198
2	39	11	4	1	198
2	40	11	3	4	198
2	41	19	7	7	198
2	42	7	7	3	198
2	43	10	4	2	198
2	44	10	6	3	198
2	45	9	7	0	198
